Timestamp,Employment Type,Company Name,Company Size - # Employees,Primary Location (Country),Primary Location (City),Industry in Company,Public or Private Company,Years Experience in Industry,Years of Experience in Current Company  ,Job Title In Company,Job Ladder,Job Level,Required Hours Per Week,Actual Hours Per Week,Highest Level of Formal Education Completed,Total Base Salary in 2018 (in USD),Total Bonus in 2018 (cumulative annual value in USD),Total Stock Options/Equity in 2018 (cumulative annual value in USD),Health Insurance Offered,Annual Vacation (in Weeks),Are you happy at your current position?,Do you plan to resign in the next 12 months?,What are your thoughts about the direction of your industry?,Gender,Final Question: What are the top skills (you define what that means) that you believe will be necessary for job growth in your industry over the next 10 years?,Have you ever done a bootcamp? If so was it worth it?
9/11/2019 1:01:46,Full-time,ISP,20-100,Australia (AU),Victoria,Internet Services,Private,5-10,0-2,NOC,Dev-Ops,3 (III),40+,40-50,Undergraduate Degree,51000,0,0,No,4,It's Complicated,Don't know,It's looking bleak.,Male,,
9/11/2019 1:01:49,Full-time,,20-100,United States (US),Bloomington,IT,Private,5-10,2-5,Escalations Engineer,Technical Support Engineer,3 (III),40+,40-50,High School,66750,1500,0,Yes,4,Yes,No,,Male,,
9/11/2019 1:02:23,Full-time,,"1,000-10,000",United States (US),Raleigh,General Engineering,Private,0-2,0-2,IT Support Analyst,Technical Support Engineer,1 (I),40+,40-50,Undergraduate Degree,51500,1500,,Yes,4,Yes,No,,Female,,
9/11/2019 1:02:35,Full-time,Blake,"10,000-100,000",United States (US),"San Antonio, TX",Finance,Private,10-20,2-5,Sr Systems Engineer,System Admin,,40+,40-50,High School,100000,12000,,Yes,4,Yes,No,,Male,,
9/11/2019 1:03:08,Full-time,Tata Consultancy Services,"100,000+",India (IN),Mumbai,IT,Private,0-2,0-2,Systems engineer,Technical Support Engineer,1 (I),40+,40-50,Graduate Degree,4800,200,0,Yes,3,No,Yes,,Male,,
9/11/2019 1:03:10,Full-time,Texas department of insurance ,"1,000-10,000",United States (US),Austin,Internet Services,Public,5-10,0-2,Network  specialist ,Newtork Admin,4 (IV),40+,40-50,Associate degree and military ,52000,0,0,Yes,4,Yes,Don't know,Getting way more complicated for entry level  positions,Male,,
9/11/2019 1:03:34,Full-time,CMD Solutions,20-100,Australia (AU),Sydney,Consulting,Private,2-5,0-2,Senior consultant ,Dev-Ops,,20-40,20-40,Graduate Degree,103000,0,0,N/A,4,Yes,No,,Male,,
9/11/2019 1:04:15,Full-time,,20-100,United States (US),,IT,Private,5-10,2-5,Senior Network Administrator ,Newtork Admin,,40+,40-50,Microsoft Certifications,48000,0,0,Yes,3,Yes,No,There's improvement and they are super supportive of me and my health as well as my success. ,Male,,
9/11/2019 1:04:36,Full-time,,"1,000-10,000",United States (US),,IT,Non-profit,10-20,0-2,Desktop Support,Technical Support Engineer,2 (II),40+,20-40,Undergraduate Degree,55000,,,Yes,2,It's Complicated,No,,Male,,
9/11/2019 1:05:24,Full-time,A digital agency,"100-1,000",United States (US),,Internet Services,Private,2-5,0-2,It Analyst,System Admin,2 (II),40+,40-50,Undergraduate Degree,50000,0,0,Yes,3,No,Yes,,Male,,
9/11/2019 1:05:47,Full-time,Juul Labs,"1,000-10,000",United States (US),San Francisco,General Engineering,Private,2-5,2-5,API Integrations Engineer ,Dev-Ops,,20-40,50-70,Undergraduate Degree,90000,20000,87000,Yes,2,It's Complicated,Don't know,,Male,,
9/11/2019 1:05:49,Full-time,,"100-1,000",Canada (CA),Toronto,Internet Services,Public,10-20,0-2,IT Manager,Management,,40+,40-50,High School,95000,9500,,Yes,3,It's Complicated,No,,Male,,
9/11/2019 1:06:30,Contractor,,1-20,United States (US),San Antonio,IT,Private,0-2,0-2,Jr System Admin,System Admin,,20-40,20-40,Undergraduate Degree,40000,0,0,No,0,No,Yes,,Male,,
9/11/2019 1:06:50,Full-time,,20-100,United States (US),Palo Alto,Internet Services,Private,20+,0-2,IT Director,Management,,40+,40-50,Undergraduate Degree,215000,25000,100000,Yes,2,Yes,No,"Normal 'sysadmin' is going away as we tend to think about it. We will still need sysadmins for various functions, but people better get comfortable with thinking about non-traditional things as sysadmin tasks. There is still plenty of work to do, to automate and to add value to the company. But not if you're stuck on being a guy who only does a few things. This is nothing new, but it will continue to accelerate. Stay relevant of you'll get run over by those who do. ",Male,,
9/11/2019 1:07:50,Full-time,,"100-1,000",United States (US),Atlanta,Software,Private,10-20,0-2,DevOps Engineer,Dev-Ops,3 (III),40+,50-70,Trade School,115000,5000,0,Yes,2,Yes,No,,Male,,
9/11/2019 1:08:01,Full-time,,"1,000-10,000",Canada (CA),,IT,Public,10-20,2-5,Senior Systems Administrator,System Admin,,20-40,20-40,Undergraduate Degree,80000,3000,,Yes,3,Yes,No,,Male,,
9/11/2019 1:08:04,Full-time,School of the Art institute of Chicago,"1,000-10,000",United States (US),Chicago,IT,Non-profit,10-20,10-20,Systems Administrator,System Admin,8 (VIII),20-40,20-40,Undergraduate Degree,79527,0,0,Yes,6+,Yes,No,"It was a long battle to competitive pay, because ""everybody in non-profit is underpaid."" Right. But I'm now making above industry average. The benefits are amazing. Simply not found anywhere. ",Male,,
9/11/2019 1:08:12,Full-time,,"100-1,000",United States (US),,Software,Private,5-10,2-5,Senior Systems Adminstrator,System Admin,,40+,50-70,Undergraduate Degree,75000,2000,,Yes,2,It's Complicated,Don't know,,Male,,
9/11/2019 1:08:39,Full-time,,"1,000-10,000",United States (US),New York,Public Sector,Non-profit,10-20,2-5,Certified IT Admin,System Admin,3 (III),20-40,20-40,Trade School,118000,0,0,Yes,3,It's Complicated,No,,Male,,
9/11/2019 1:09:03,Full-time,Shriners hospitals for children ,"100-1,000",United States (US),Salt lake city,IT,Non-profit,5-10,5-10,Computer tech 2,System Admin,2 (II),40+,40-50,High School,42100,,,Yes,2,Yes,Yes,,Male,,
9/11/2019 1:09:43,Full-time,,20-100,United States (US),Des Moines,Consulting,Private,5-10,2-5,Technical Solutions Engineer,Network Engineer,3 (III),40+,40-50,Undergraduate Degree,102000,12000,0,Yes,3,Yes,No,,Male,,
9/11/2019 1:09:47,Full-time,,20-100,Canada (CA),Halifax ,Public Sector,Non-profit,2-5,2-5,System administrator ,System Admin,,20-40,20-40,Undergraduate Degree,33000,0,0,Yes,3,It's Complicated,Yes,Simplifying sysadmin jobs has caused the barrier to entry for the title to fall. Most of what is done in some sysadmin jobs are helpdesk jobs with a fancy title. ,Male,,
9/11/2019 1:09:53,Full-time,Active Minerals International,"100-1,000",United States (US),,General Engineering,Private,2-5,0-2,Data Architect,System Admin,2 (II),40+,40-50,Undergraduate Degree,60000,3000,0,Yes,3,It's Complicated,Yes,,Male,,
9/11/2019 1:10:41,Full-time,,20-100,United States (US),,Software,Private,5-10,5-10,IT Support Technician,Technical Support Engineer,,40+,50-70,High School,79000,5000,,Yes,2,Yes,No,,,,
9/11/2019 1:11:21,Full-time,,20-100,United States (US),,Hardware,Private,10-20,10-20,network technician,field tech,,20-40,20-40,High School,4000,50000,0,Yes,4,Yes,Don't know,,Male,,
9/11/2019 1:11:24,Full-time,Platformers Australia ,1-20,Australia (AU),Brisbane ,Software,Private,0-2,0-2,Software Developer,Software Engineer (SWE),2 (II),20-40,50-70,High School,50000,0,0,N/A,0,No,Yes,,Male,,
9/11/2019 1:11:51,Full-time,,"100,000+",United States (US),Atlanta,Software,Public,2-5,2-5,Software Engineer,Software Engineer (SWE),2 (II),20-40,20-40,Undergraduate Degree,91000,,,Yes,4,It's Complicated,Yes,,Male,,
9/11/2019 1:11:56,Full-time,,"100-1,000",United States (US),Boston ,Software,Private,10-20,2-5,Senior network engineer ,Network Engineer,,40+,40-50,Trade School,125000,12500,,Yes,3,It's Complicated,Don't know,,Male,,
9/11/2019 1:12:29,Full-time,Transamerica,"10,000-100,000",United States (US),Cedar Rapids,Finance,Public,10-20,10-20,Lead devops engineer,System Admin,,40+,40-50,High School,104000,17000,,Yes,4,It's Complicated,No,FML,Male,,
9/11/2019 1:12:52,Full-time,,"1,000-10,000",United States (US),Austin,Software,Public,5-10,2-5,Software Engineer,Software Engineer (SWE),6 (VI),20-40,40-50,High School,148000,20000,0,Yes,6+,Yes,No,,Male,,
9/11/2019 1:13:17,Contractor,,"10,000-100,000",Australia (AU),Brisbane,Public Sector,Government Agency,5-10,,Systems Administrator,System Admin,,20-40,10-20,Trade School,44603,,,N/A,0,Yes,No,,Male,,
9/11/2019 1:13:17,Full-time,,"100-1,000",United States (US),Houston,General Engineering,Public,10-20,5-10,System admin,System Admin,,40+,40-50,Undergraduate Degree,105000,0,0,Yes,4,Yes,No,,Male,,
9/11/2019 1:13:20,Full-time,,"100-1,000",United States (US),,IT,Private,0-2,2-5,Systems Administrator,System Admin,1 (I),20-40,20-40,Undergraduate Degree,35000,500,0,Yes,2,Yes,Don't know,,Male,,
9/11/2019 1:15:21,Full-time,Okta,"1,000-10,000",United States (US),San Francsico,Internet Services,Public,20+,5-10,Architect,System Admin,6 (VI),20-40,40-50,High School,19100,0,120000,Yes,4,Yes,No,Getting more complicated,Male,,
9/11/2019 1:15:32,Full-time,,20-100,United States (US),San Francisco,Internet Services,Private,0-2,0-2,Product Manager,Product Manager,,40+,40-50,Undergraduate Degree,70000,,,Yes,2,It's Complicated,Don't know,,Male,,
9/11/2019 1:17:04,Full-time,Ha,20-100,United States (US),NY Metro Area,Finance,Private,10-20,10-20,Sys admin,System Admin,,20-40,20-40,Undergraduate Degree,122000,5800,0,Yes,3,It's Complicated,No,"I support an ultra wealthy family in their business endeavors. It's steady high paying and low stress, however, it's super boring. I used to work for fortune 100 companies, and when my children are both in elementary school, I'm going to try to get back to ""the majors"" ",Male,,
9/11/2019 1:17:15,Full-time,,1-20,United States (US),"Cincinnati, OH",IT,Private,2-5,2-5,Support Technician,Technical Support Engineer,,40+,40-50,High School,30000,2200,0,Yes,2,It's Complicated,Yes,,Male,,
9/11/2019 1:17:22,Full-time,,"100-1,000",United States (US),Dallas,Food/Hospitality,Private,5-10,0-2,Network Administrator,Newtork Admin,1 (I),40+,50-70,Undergraduate Degree,87000,,,Yes,3,Yes,Don't know,,Male,,
9/11/2019 1:19:41,Full-time,,20-100,United States (US),Little Rock,IT,Private,10-20,5-10,Sr. Systems Engineer,System Admin,,40+,40-50,Undergraduate Degree,72000,,,Yes,6+,Yes,No,,Male,,
9/11/2019 1:20:34,Full-time,,"100-1,000",United States (US),Anchorage,Public Sector,Federal,10-20,,System Administrator,System Admin,,40+,40-50,High School,96000,,,Yes,4,Yes,No,,Male,,
9/11/2019 1:21:04,Full-time,N/A (Privately held),"100-1,000",United States (US),chicagoland,Gaming,Private,10-20,10-20,Senior Systems and Network Admin,System Admin,,40+,20-40,Undergraduate Degree,103000,13000,0,Yes,3,Yes,No,,Male,,
9/11/2019 1:21:28,Full-time,,"100-1,000",United Kingdom (GB),Reading,Software,Private,2-5,2-5,Software Engineer ,Software Engineer (SWE),,40+,50-70,High School,52000,0,0,N/A,4,It's Complicated,No,,Male,,
9/11/2019 1:22:02,Full-time,Swift Systems,20-100,United States (US),"Frederick, MD",IT,Private,2-5,0-2,IT support Engineer,Technical Support Engineer,4 (IV),40+,40-50,Undergraduate Degree,45000,,,Yes,2,It's Complicated,No,,Male,,
9/11/2019 1:22:11,Full-time,,"1,000-10,000",United States (US),Seattle,IT,Public,2-5,0-2,AV Specialist,System Admin,3 (III),40+,20-40,Undergraduate Degree,54600,,,Yes,2,Yes,No,,Male,,
9/11/2019 1:22:40,Full-time,,"100-1,000",Canada (CA),London,Internet Services,Private,2-5,2-5,Help Desk,Technical Support Engineer,1 (I),20-40,40-50,High School,34225,500,,Yes,3,It's Complicated,Don't know,,Male,,
9/11/2019 1:24:15,Full-time,,20-100,United States (US),,Consulting,Private,10-20,10-20,Sr Consultant,Network Engineer,,40+,40-50,Undergraduate Degree,112000,0,0,Yes,4,Yes,No,,Male,,
9/11/2019 1:24:24,Full-time,,"10,000-100,000",United States (US),Greater Chicagoland,Manufacruring,Private,20+,10-20,Principal IT Architect,System Admin,8 (VIII),40+,40-50,Undergraduate Degree,120000,20000,0,Yes,5,It's Complicated,No,We work lean and some days that's a bit too much.,Male,,
9/11/2019 1:24:30,Full-time,,"10,000-100,000",United States (US),,Healthcare,Private,2-5,2-5,Technical Services,System Admin,,40+,40-50,Undergraduate Degree,110000,,,Yes,3,Yes,No,,Male,,
9/11/2019 1:25:42,Full-time,,"10,000-100,000",United States (US),Seattle,Healthcare,Public,10-20,5-10,Supervisor,Management,3 (III),20-40,20-40,High School,93000,0,0,Yes,3,Yes,No,,Male,,
9/11/2019 1:26:06,Full-time,,20-100,United States (US),,IT,Private,2-5,2-5,IT Support Engineer,Technical Support Engineer,,20-40,20-40,AAS,31600,,,Yes,2,It's Complicated,Don't know,,Female,,
9/11/2019 1:26:48,Full-time,Medical Imaging Associates ,"100-1,000",United States (US),Idaho falls,Healthcare,Private,5-10,2-5,Network and systems engineer ,Newtork Admin,2 (II),40+,40-50,Undergraduate Degree,52000,8000,0,Yes,1,It's Complicated,Yes,,Male,,
9/11/2019 1:27:03,Full-time,,"10,000-100,000",United States (US),Philadelphia,Healthcare,Private,2-5,2-5,Software Engineer  ,Software Engineer (SWE),,20-40,50-70,Undergraduate Degree,87000,9300,0,Yes,3,It's Complicated,Don't know,,Male,,
9/11/2019 1:27:21,Full-time,,"100-1,000",United States (US),,Material handling,Private,5-10,0-2,desktop support technician,System Admin,,40+,20-40,Undergraduate Degree,52000,,,Yes,1,It's Complicated,No,"Pallets need lifting, wish they'd spread the wealth",,,
9/11/2019 1:27:45,Full-time,,"100-1,000",United States (US),,Hardware,Private,10-20,2-5,Systems administrator,System Admin,,20-40,20-40,High School,40000,,,Yes,2,It's Complicated,Don't know,,Male,,
9/11/2019 1:28:27,Full-time,,20-100,United States (US),,Manufacturing,Private,0-2,0-2,IT Administrator,System Admin,,20-40,40-50,Undergraduate Degree,50000,300,0,Yes,2,It's Complicated,Yes,,Female,,
9/11/2019 1:28:42,Full-time,PCG,1-20,United States (US),San Diego,IT,Private,5-10,0-2,Analyst,System Admin,,40+,40-50,High School,72000,,,Yes,2,Yes,Yes,,Male,,
9/11/2019 1:29:01,Full-time,UCLA Health,"10,000-100,000",United States (US),Los Angeles,IT,Public,10-20,5-10,Desktop Engineering Manager,System Admin,4 (IV),40+,40-50,Professional Certifications,105000,2500,0,Yes,6+,Yes,Don't know,,Male,"Powershell, config management, virtualization",
9/11/2019 1:29:30,Full-time,,"100-1,000",United States (US),,Education,Public,10-20,5-10,Director of Information Technology,System Admin,,40+,40-50,Professional Certifications,48332.8,15,,Yes,2,It's Complicated,Don't know,,Male,,
9/11/2019 1:29:55,Full-time,,"10,000-100,000",Australia (AU),,General Engineering,Private,10-20,10-20,Server engineer,Technical Support Engineer,,40+,40-50,High School,65000,,,N/A,4,No,Don't know,,Male,Security,
9/11/2019 1:30:30,Full-time,,20-100,United Kingdom (GB),,Telecommunications,Private,2-5,2-5,Senior service desk engineer,Technical Support Engineer,2 (II),40+,40-50,Professional Certifications,47000,,,N/A,3,It's Complicated,No,,Male,,
9/11/2019 1:30:33,Full-time,,20-100,United States (US),Scottsdale,IT,Private,5-10,5-10,IT director,Newtork Admin,,40+,40-50,Undergraduate Degree,89000,6500,,Yes,3,It's Complicated,Don't know,,Male,,
9/11/2019 1:30:40,Full-time,,"100-1,000",Australia (AU),Melbourne,Software,Private,10-20,5-10,QA/Tester,QA,,20-40,40-50,High School,75000,6500,,N/A,6+,It's Complicated,No,,Male,"Automation, Product ideation, Discipline in working remotely.",
9/11/2019 1:30:49,Full-time,Advantis,"10,000-100,000",United States (US),Austin,Software,Public,5-10,0-2,DevOps,Dev-Ops,,40+,40-50,Undergraduate Degree,127000,0,0,Yes,0,No,Don't know,It's a real drag,Male,"docker, automation",
9/11/2019 1:32:04,Full-time,,"100-1,000",Australia (AU),,Healthcare,Non-profit,5-10,5-10,IT Admin,System Admin,4 (IV),20-40,20-40,Undergraduate Degree,50000,,,No,5,It's Complicated,Yes,Non-profit industry need to stay competitive with perks if they can't match salary,Male,"Automation, scripting, remote assistance/work, strong spine",
9/11/2019 1:32:12,Full-time,Broad Institute of MIT and Harvard,"1,000-10,000",United States (US),"Cambridge, MA",Academic genomic research,Non-profit,2-5,0-2,Software Developer,Software Engineer (SWE),2 (II),40+,40-50,Graduate Degree,113000,0,0,Yes,5,It's Complicated,Don't know,,Female,,
9/11/2019 1:32:17,Full-time,,"1,000-10,000",United States (US),,ReInsurance,Public,2-5,2-5,Senior web and frameworks administrator,Dev-Ops,,40+,40-50,Undergraduate Degree,99000,,,Yes,3,It's Complicated,Don't know,,Male,Ability to complete automation tasks,
9/11/2019 1:32:27,Full-time,,"1,000-10,000",United States (US),"Berkeley, CA",Government Research,Public,10-20,5-10,Computer Systems Engineer IV,Computer Systems Engineer II,4 (IV),20-40,40-50,Undergraduate Degree,170000,,,Yes,2,Yes,No,Stable,Male,Ability to learn,
9/11/2019 1:33:04,Full-time,,20-100,Germany (DE),Munich,IT,Public,2-5,0-2,Head of Software Engineering,Management,2 (II),40+,40-50,Graduate Degree,120000,20000,0,N/A,6+,Yes,No,,Male,,
9/11/2019 1:33:09,Full-time,,"10,000-100,000",United States (US),Portland,Consulting,Public,5-10,0-2,Security consultant,Infosec,5 (V),20-40,20-40,High School,110000,8000,,Yes,3,Yes,Don't know,,Male,,
9/11/2019 1:33:21,Full-time,City of Port Arthur,"100-1,000",United States (US),"Port Arthur, TX",Public Sector,Public,5-10,2-5,Applications Specialist,System Admin,,20-40,40-50,High School,57000,0,0,Yes,2,It's Complicated,No,,Male,"Automation, Security, and DevOps methodology",
9/11/2019 1:33:28,Full-time,,1-20,United States (US),Atlanta,IT,Private,10-20,5-10,Support team manager,System Admin,2 (II),20-40,40-50,High School,55000,3000,,No,2,It's Complicated,No,,Male,,
9/11/2019 1:33:40,Full-time,Cascade Mental Health ,"100-1,000",United States (US),,Healthcare,Non-profit,0-2,0-2,IT Support Specialist,Technical Support Engineer,1 (I),40+,40-50,Undergraduate Degree,32000,0,0,Yes,1,It's Complicated,No,,Male,,
9/11/2019 1:33:47,Full-time,,20-100,Canada (CA),Toronto ,IT,Private,10-20,2-5,Security Admin/Senior Deskside,System Admin,3 (III),20-40,20-40,High School,49500,800,0,No,3,It's Complicated,Don't know,,Male,"Advanced Deskside Support, AD admin, file server management",
9/11/2019 1:33:59,Full-time,IQVIA,"10,000-100,000",United States (US),Philadelphia ,Healthcare,Public,2-5,2-5,Sr Consultant ,Analyst,,40+,50-70,Undergraduate Degree,104000,10000,0,Yes,3,Yes,No,,Male,Communication ,
9/11/2019 1:35:58,Full-time,,"100-1,000",United States (US),,Finance,Non-profit,5-10,2-5,Network Administrator,Technical Support Engineer,,40+,40-50,Undergraduate Degree,65000,300,,Yes,2,It's Complicated,Don't know,,Male,"Automation, cloud, education",
9/11/2019 1:36:05,Full-time,Education Sector,"100-1,000",Australia (AU),,Finance,Non-profit,5-10,5-10,Financial Analyst & System Administrator,System Admin,8 (VIII),20-40,20-40,Undergraduate Degree,74147.62,0,0,No,5,It's Complicated,No,It's a government subsidised dinosaur,Male,"Software Engineering, Data Analytics, Database Management, Accounting Concepts, Statistical Analysis, People Skills, Relationship Managment",
9/11/2019 1:36:48,Full-time,,"1,000-10,000",United States (US),Minneapolis,Healthcare,Non-profit,10-20,10-20,Infrastructure Architect,System Admin,,40+,40-49,Professional Certifications,135000,,,Yes,6+,Yes,No,,Male,,
9/11/2019 1:37:11,Full-time,,"100-1,000",United States (US),,IT,Non-profit,10-20,2-5,Computer Technician,Technical Support Engineer,1 (I),40+,20-39,Graduate Degree,39000,,,Yes,5,Yes,No,,Male,,
9/11/2019 1:37:26,Full-time,Grande Prairie Public School District,"100-1,000",Canada (CA),Grande Prairie,Public Sector,Public,5-10,5-10,Field Technician,Technical Support Engineer,,20-40,20-40,Trade School,52000,0,0,Yes,4,Yes,No,"Things are changing at a rate that nobody can keep up with.  By the time something is tested, documentation created and users trained, the product or software has been replaced by something new.  I can't keep up and have given up trying to.",Male,The ability to absorb new information and not get left behind.,
9/11/2019 1:38:17,Full-time,Oklahoma County,"1,000-9,999",United States (US),Oklahoma City,Public Sector,Non-profit,5-10,5-10,Systems Engineer III,Site Reliability Engineer (SRE),3 (III),40+,40-49,High School,65000,0,0,Yes,3,Yes,No,,Male,Automation and scripting,
